Chinese,English,File,Line
"留空即用当前作者","Leave blank to use current author",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsDraftDialog.astro,234
"本条不会写入","This article will not be written",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsDraftDialog.astro,234
"恢复默认","Restore default",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsDraftDialog.astro,236
"标记为草稿","Mark as draft",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsDraftDialog.astro,244
"草稿","draft",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsDraftDialog.astro,245
"线上","on-line",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsDraftDialog.astro,245
"预览默认不显示","Preview is not shown by default",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsDraftDialog.astro,245
"生成并复制","Generate and copy",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsDraftDialog.astro,248
"下载","download",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsDraftDialog.astro,249
"絮语","Whisper",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,44
"条絮语","Whispers",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,54
"按年份筛选絮语","Filter gossip by year",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,102
"显示全部絮语","Show all whispers",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,110
"全部","all",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,113
"筛选","filter",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,121
"年絮语","Nian murmurs",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,121
"打开更多年份筛选","Open more year filters",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,133
"更多","More",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,137
"更多年份筛选","Filter by more years",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,145
"搜索絮语","Search Whispers",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,171
"关键词","keywords",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,175
"搜索结果","Search results",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,246
"重置筛选","Reset filter",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,250
"年份筛选与草稿生成功能需要","Required for year filtering and draft generation functions",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,261
"当前仅保留列表浏览","Currently only list browsing is reserved",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,261
"图片预览","Picture preview",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,267
"加载中","loading",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,308
"正在加载碎碎念工具","Loading the broken thoughts tool",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,356
"碎碎念工具加载失败","Failed to load the broken thoughts tool",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,362
"请重试","Please try again",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BitsPageView.astro,362
"社交","social contact",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BrandIcon.astro,2
"品牌与联系类图标入口","Brand and contact icon entry",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BrandIcon.astro,2
"品牌平台保留手写","Brand platform retains handwriting",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BrandIcon.astro,2
"非品牌联系图标走","Non-Brand Contact Icon Go",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/BrandIcon.astro,2
"更新于","updated on",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/EntryListItem.astro,25
"随笔","Essay",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/EssayCard.astro,12
"兼容入口","Compatible entrance",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/Icon.astro,2
"仅保留给","reserved only for",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/Icon.astro,2
"历史调用","Historical calls",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/Icon.astro,2
"新代码必须改走","New code must be changed",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/Icon.astro,2
"上一张","Previous picture",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/Lightbox.astro,32
"下一张","Next",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/Lightbox.astro,33
"首页","front page",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/Sidebar.astro,67
"后台页面","Backend page",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/Sidebar.astro,123
"切换标签","Switch tabs",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/TagFilterHeader.astro,42
"清除筛选","Clear filters",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/TagFilterHeader.astro,72
"标题","title",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/TagFilterHeader.astro,95
"摘要","summary",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/TagFilterHeader.astro,95
"关闭标签选择器","Close tag selector",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/TagFilterHeader.astro,129
"当前为无","Currently None",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/TagFilterHeader.astro,154
"模式","model",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/TagFilterHeader.astro,154
"可直接点击下列标签进入静态结果页","You can directly click on the following tags to enter the static results page",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/TagFilterHeader.astro,154
"个标签","tags",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/TagFilterHeader.astro,158
"可直接访问结果页","Direct access to results page",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/TagFilterHeader.astro,158
"查看全部","View all",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/TagFilterHeader.astro,160
"下列标签链接可直接访问结果页","The following tag links provide direct access to the results page",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/TagFilterHeader.astro,162
"公开站点非品牌","Public site non-branded",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/UiIcon.astro,2
"图标入口","Icon entrance",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/UiIcon.astro,2
"只收录当前真实使用的项目语义名","Only the currently used project semantic names are included.",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/UiIcon.astro,2
"生活小记","Life notes",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,48
"内容编辑","Content editing",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,105
"关于","about",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,111
"未设置","not set",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,120
"缓存异常","Cache exception",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,197
"返回","return",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,229
"返回列表","Return to list",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,233
"总入口","(translation failed)",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,234
"本地依赖缓存已过期","The local dependency cache has expired",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,260
"本地开发缓存可能已过期","Local development cache may be expired",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,271
"编辑器未能加载","Editor failed to load",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,271
"请先停止开发服务","Please stop development services first",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,274
"重新运行","Rerun",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,274
"然后刷新本页","Then refresh this page",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,274
"如果仍无法加载","If it still doesn't load",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,277
"请停止开发服务并运行","Please stop the development service and run",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,277
"复制命令","copy command",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,288
"刷新页面","refresh page",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,295
"当前","current",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,319
"保持只读","keep read only",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,319
"若需查看或编辑内容索引","To view or edit the content index",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,339
"请在本地运行","Please run it locally",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,339
"后从此入口进入","Then enter from this entrance",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminContentEditPage.astro,339
"配置异常","Configuration exception",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminDiagnosticPanel.astro,24
"首页设置","Home page settings",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminHomeSection.astro,23
"图片地址","Image address",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminHomeSection.astro,34
"图片地址说明","Image address description",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminHomeSection.astro,37
"支持","support",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminHomeSection.astro,38
"图床链接","Picture bed link",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminHomeSection.astro,38
"地址留空时回退内置默认图","Fallback to the built-in default image when the address is left blank",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminHomeSection.astro,38
"展示","exhibit",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminHomeSection.astro,43
"当前使用","currently in use",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminHomeSection.astro,53
"选择本地","Select local",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminHomeSection.astro,61
"选择","choose",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminHomeSection.astro,63
"图片说明","Image description",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminHomeSection.astro,70
"用于图片替代文本","Used for image alt text",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminHomeSection.astro,71
"不在页面显示","Not displayed on the page",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminHomeSection.astro,71
"预览图片","Preview picture",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminHomeSection.astro,84
"图未启用","Figure is not enabled",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminHomeSection.astro,93
"首页导语主文案","Home page introduction main copy",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminHomeSection.astro,102
"首页导语补充文案","Home page introduction supplementary copy",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminHomeSection.astro,114
"固定句式","Fixed sentence pattern",/Users/thor3/Documents/BESTwhono2-astro-with-jxl-works-jxl-NEVERDELETE-copy-copy_BEST/whono2-astro/src/components/admin/AdminHomeSection.astro,115
